country_iso3,area,jurisdiction,missing_fact,reason,attempted_sources,recommended_next_step
AUS,graduation_framework,South Australia,South Australian Certificate of Education (SACE) full framework,SACE Board homepage accessed but detailed framework not modeled; only register row was deleted,SACE Board of South Australia,"Access SACE complete requirements (200 credits, compulsory elements, Stage 1/Stage 2) and model as framework"
AUS,graduation_framework,Tasmania,Tasmanian Certificate of Education (TCE),No direct Tasmanian curriculum authority framework source accessed,"Tasmanian Department for Education, Children and Young People",Access TCE requirements and curriculum documents
AUS,graduation_framework,Western Australia,Western Australian Certificate of Education (WACE),No direct Western Australian curriculum authority framework source accessed,School Curriculum and Standards Authority (SCSA),Access WACE requirements and curriculum documents
AUS,program,Australia,IB Diploma Programme in Australian schools,International program offered but not governed by state authorities; requires direct IB authority source,ibo.org,Access IB Australia official curriculum and school directory for Australian scope
AUS,program,Australia,ATAR authorities and rules by jurisdiction,"ATAR is a tertiary admission rank, not a credential or graduation requirement; UAC (NSW), VTAC (VIC), and other state TACs have distinct rules","UAC, VTAC, SATAC, TISC, QTAC",Access each ATAR authority for exact scope and calculation rules per jurisdiction
GBR,curriculum,Wales,Curriculum for Wales and post-16 qualification reforms/effective cohorts,No direct detailed Welsh curriculum source accessed for 2022+ reforms,Welsh Government / Qualifications Wales,Access Curriculum for Wales documents and post-16 qualification reform details
GBR,qualifications,Wales,"Qualifications Wales, WJEC, and awarding-body role distinctions","Regulator, awarding body, and government roles in Wales not directly sourced",qualificationswales.org,Access Qualifications Wales regulatory scope and WJEC awarding body documentation
GBR,curriculum,Wales,Welsh-medium qualification pathways,Welsh language-medium education and qualification pathways not directly sourced,Welsh Government / WJEC,Access Welsh-medium curriculum and qualification specifications
GBR,curriculum,Wales,"GCSE, AS and A level reforms in Wales",Wales-specific GCSE and A level reforms not directly sourced,Qualifications Wales,Access Wales GCSE and A level reform documents and timelines
GBR,curriculum,Northern Ireland,Northern Ireland Curriculum at Key Stages 3-4,No direct detailed Northern Ireland curriculum source accessed,Department of Education Northern Ireland / CCEA,Access Northern Ireland Curriculum documents and specifications
GBR,qualifications,Northern Ireland,"CCEA GCSE, AS/A level, Essential Skills, and vocational qualifications",CCEA qualification specifications not directly sourced,ccea.org.uk,Access CCEA detailed qualification specifications and regulatory scope
GBR,qualifications,Northern Ireland,Northern Ireland awarding-body/regulatory distinctions,CCEA role versus other awarding bodies in Northern Ireland not directly sourced,Department of Education Northern Ireland,Access DE guidance on awarding body and regulator roles in NI
GBR,qualifications,Northern Ireland,Current transition dates and legacy qualifications,Northern Ireland curriculum and qualification transition arrangements not directly sourced,Department of Education Northern Ireland,Access TransformED NI delivery plan and timeline documents
GBR,program,England,T levels in England,"T Level technical qualifications not modeled as they are post-16 regulated qualifications, not a separate government programme",Department for Education / Institute for Apprenticeships and Technical Education,Access T Level programme specifications and scope if modeling as education_program is appropriate
GBR,program,England,Apprenticeships and vocational technical qualifications,Apprenticeships and wide range of vocational technical qualifications not modeled,DfE / IfATE,Access apprenticeship and vocational technical qualification frameworks for potential modeling
GBR,qualifications,UK,International GCSEs and international A levels,International qualifications are not equivalent to domestic school scope; require direct awarding-body sources,Pearson / Cambridge Assessment,Access direct awarding body sources for international qualification scope
GBR,program,UK,IB programmes in UK schools,International Baccalaureate offered in UK schools but requires direct IB authority source for UK scope,ibo.org,Access IB UK official curriculum and school directory for UK scope
GBR,qualifications,England,Cambridge Technicals and other awarding-organisation-specific qualifications,"Awarding-organisation-specific qualifications (OCR Cambridge Technicals, etc.) not modeled",OCR / Pearson / AQA,Access individual awarding body qualification catalogs for England
GBR,program,Scotland,"Scotland Foundation Apprenticeships, National Progression Awards, Skills for Work, Scottish Baccalaureates",Alternative Scottish qualifications and programmes not modeled,Skills Development Scotland / Qualifications Scotland,"Access direct sources for Foundation Apprenticeships, NPAs, and Scottish Baccalaureates"
GBR,qualifications,UK,"Alternative provision, adult qualifications, and home-country-specific school-leaving measures",Alternative provision and adult qualification pathways not modeled,Various UK authorities,Research alternative provision and adult qualification frameworks for each constituent country
GBR,qualifications,UK,University admissions measures that are not school credentials,"UCAS, personal statements, admissions tests are university admissions measures, not school-leaving credentials",UCAS,Distinguish school credentials from university admissions measures
GBR,qualifications,England,Exact course/specification catalogs by awarding organisation,Detailed subject-level specifications require direct awarding-body sources,AQA / OCR / Pearson / WJEC Eduqas,Access individual awarding body subject specifications for GCSE and A level
GBR,graduation_framework,England,England Key Stage 4 and 5 Qualifications framework deleted,Schema cannot faithfully represent England's subject-qualification model; no unified graduation credential exists,Ofqual / DfE,"Schema limitation: England has separate GCSE and A level qualifications, not a combined credential"
GBR,graduation_framework,Scotland,Scotland National Qualifications framework deleted,"Schema cannot faithfully represent Scotland's separate qualifications model; National 4/5, Higher, Advanced Higher are distinct qualifications",Qualifications Scotland,"Schema limitation: Scotland has separate National Qualifications at different SCQF levels, not one credential"
GBR,program,England,BTEC / Vocational Awards program deleted,"BTEC is a Pearson qualification brand, not a generic UK government programme; cannot be modeled as a single education_program",Pearson,Access Pearson BTEC direct sources if separate vocational program modeling is appropriate
DEU,curriculum,Country-level,KMK Framework - General Secondary downgraded to needs_research,Schema cannot faithfully represent KMK coordination agreements as a national curriculum; KMK resolutions are recommendations until enacted by individual Land parliaments,https://www.kmk.org/fileadmin/Dateien/pdf/Eurydice/EN/dossier_en_ebook.pdf,KMK/Eurydice dossier confirms Länder have primary legislative responsibility and KMK resolutions are recommendations
DEU,graduation_framework,Country-level,KMK Upper Secondary Framework downgraded to needs_research,Schema cannot faithfully represent KMK coordination agreements as a destination graduation framework; Abitur is awarded by individual Länder with no federal graduation law,https://www.kmk.org/fileadmin/Dateien/pdf/Eurydice/EN/dossier_en_ebook.pdf,KMK/Eurydice dossier confirms Abitur is administered at Land level with KMK coordination only
DEU,curriculum,All 16 Länder,Land-specific school types and organizational variants,"School types (Gymnasium, Realschule, Hauptschule, Gesamtschule, Gemeinschaftsschule, etc.) and their availability vary by Land; no universal structure exists",KMK agreements,Access individual Land ministry school-type documentation
DEU,curriculum,All 16 Länder,G8/G9 status and transition cohorts by Land,Gymnasium duration varies between 8 and 9 years depending on Land and transition cohort; no national uniform path,KMK agreements,Access each Land ministry documentation for G8/G9 transition
DEU,graduation_framework,All 16 Länder,Land-specific leaving credentials and their names,"Hauptschulabschluss, Mittlerer Schulabschluss, Fachhochschulreife, fachgebundene Hochschulreife, Allgemeine Hochschulreife have Land-specific names and requirements",KMK agreements,Access each Land ministry credential documentation
DEU,curriculum,All 16 Länder,Land-level central examination rules and subjects,Land ministries set examination rules and subjects; no national examination system,KMK agreements,Access each Land ministry examination regulations
DEU,program,Country,Dual vocational education (Berufsschule) pathways,Federal vocational training regulations and Land vocational school curricula create a complex dual system not representable as a single program,BIBB / KMK,Access BIBB and individual Land vocational school documentation
DEU,program,Country,International Baccalaureate and international school pathways,International schools in Germany offer IB and other curricula but scope and availability are school-specific,ibo.org,Access IB Germany school directory and authorization documents
ARE,curriculum,Abu Dhabi,ADEK private-school curriculum licensing and mandatory-subject rules,ADEK regulates private schools but exact curriculum authorization scope and mandatory-subject requirements by school type were not directly sourced; ADEK curriculum row deleted,adek.gov.ae,Access ADEK private-school policy and curriculum-authorization documents
ARE,curriculum,Dubai,KHDA private-school curriculum regulation and mandatory-subject requirements,Exact KHDA curriculum rules, inspection frameworks, and mandatory-subject scope by school type not directly sourced,khda.gov.ae,Access KHDA private-school regulation and inspection framework documents
ARE,curriculum,Sharjah,SPEA and other emirate regulator private-school rules,Sharjah and remaining emirate regulator curriculum and inspection rules not accessed,spea.shj.ae / individual emirate education authorities,Access SPEA and each emirate regulator documents
ARE,curriculum,Federal,MOE public-school Cycle 3 curriculum and stream details,MOE streams update confirms general/advanced streams for Cycle 3 but exact grade range, subject tables, and stream requirements need direct curriculum documents,moe.gov.ae,Access MOE Emirati School curriculum documents and subject tables
ARE,examinations,Federal,EmSAT and other assessments relationship to graduation and university admission,EmSAT and other standardized assessments are used for university admission but their exact relationship to school-leaving certificates and graduation is not directly established in retained sources,moe.gov.ae / higher education councils,Clarify assessment boundaries and certificate rules
ARE,credentials,Federal,Grade 12 school-leaving certificate name and equivalency rules,Current exact certificate name for MOE-curriculum students and equivalency requirements for higher education not directly sourced,moe.gov.ae / Ministry of Higher Education,Access certificate and equivalency regulations
ARE,curriculum,All emirates,International curricula (British, American, IB, Indian, etc.) in UAE schools,Scope, authorization, and mandatory-national-subject rules for international curricula vary by emirate and were not directly sourced,adek.gov.ae / khda.gov.ae / individual regulators,Research each emirate regulator documents for international-curriculum rules
ARE,curriculum,All emirates,Mandatory Arabic, Islamic Education, UAE Social Studies, and Moral Education by grade and school type,Mandatory national subject scope, exemptions, and grade levels vary by school type, curriculum, nationality, and emirate; not safely modeled as uniform,moe.gov.ae / adek.gov.ae / khda.gov.ae,Access current mandatory-subject rules by school type and emirate
ARE,programs,All emirates,Adult, evening, home, and continuing education pathways,Alternative education pathways exist but were not directly sourced,moe.gov.ae,Access MOE continuing-education and equivalency rules
ARE,programs,All emirates,Special and inclusive education (students of determination),Inclusive education policies exist at MOE level but detailed pathway rules were not directly sourced,moe.gov.ae,Access MOE inclusive-education policy documents
ARE,recognition,Federal,Incoming international student placement and credential recognition,Rules for placing and recognizing foreign-school credentials for students entering UAE schools not directly sourced,moe.gov.ae / emirate regulators,Access placement and recognition regulations
